Direktori,label
/content/drive/MyDrive/Colab Notebooks/dataset/data_ikan/Species/Training_Set/Anthias anthias/anthias_anthias-1016.jpg,Anthias anthias
/content/drive/MyDrive/Colab Notebooks/dataset/data_ikan/Species/Training_Set/Anthias anthias/anthias_anthias-1017.jpg,Anthias anthias
/content/drive/MyDrive/Colab Notebooks/dataset/data_ikan/Species/Training_Set/Anthias anthias/anthias_anthias-1018.jpg,Anthias anthias
/content/drive/MyDrive/Colab Notebooks/dataset/data_ikan/Species/Training_Set/Anthias anthias/anthias_anthias-1019.jpg,Anthias anthias
/content/drive/MyDrive/Colab Notebooks/dataset/data_ikan/Species/Training_Set/Anthias anthias/anthias_anthias-102.jpg,Anthias anthias
/content/drive/MyDrive/Colab Notebooks/dataset/data_ikan/Species/Training_Set/Anthias anthias/anthias_anthias-1020.jpg,Anthias anthias
/content/drive/MyDrive/Colab Notebooks/dataset/data_ikan/Species/Training_Set/Anthias anthias/anthias_anthias-1021.jpg,Anthias anthias
/content/drive/MyDrive/Colab Notebooks/dataset/data_ikan/Species/Training_Set/Anthias anthias/anthias_anthias-1022.jpg,Anthias anthias
/content/drive/MyDrive/Colab Notebooks/dataset/data_ikan/Species/Training_Set/Anthias anthias/anthias_anthias-1023.jpg,Anthias anthias
/content/drive/MyDrive/Colab Notebooks/dataset/data_ikan/Species/Training_Set/Anthias anthias/anthias_anthias-1024.jpg,Anthias anthias
/content/drive/MyDrive/Colab Notebooks/dataset/data_ikan/Species/Training_Set/Anthias anthias/anthias_anthias-1025.jpg,Anthias anthias
/content/drive/MyDrive/Colab Notebooks/dataset/data_ikan/Species/Training_Set/Anthias anthias/anthias_anthias-1026.jpg,Anthias anthias
/content/drive/MyDrive/Colab Notebooks/dataset/data_ikan/Species/Training_Set/Anthias anthias/anthias_anthias-1027.jpg,Anthias anthias
/content/drive/MyDrive/Colab Notebooks/dataset/data_ikan/Species/Training_Set/Anthias anthias/anthias_anthias-1028.jpg,Anthias anthias
/content/drive/MyDrive/Colab Notebooks/dataset/data_ikan/Species/Training_Set/Anthias anthias/anthias_anthias-1029.jpg,Anthias anthias
/content/drive/MyDrive/Colab Notebooks/dataset/data_ikan/Species/Training_Set/Anthias anthias/anthias_anthias-103.jpg,Anthias anthias
/content/drive/MyDrive/Colab Notebooks/dataset/data_ikan/Species/Training_Set/Anthias anthias/anthias_anthias-1030.jpg,Anthias anthias
/content/drive/MyDrive/Colab Notebooks/dataset/data_ikan/Species/Training_Set/Anthias anthias/anthias_anthias-1031.jpg,Anthias anthias
/content/drive/MyDrive/Colab Notebooks/dataset/data_ikan/Species/Training_Set/Anthias anthias/anthias_anthias-1032.jpg,Anthias anthias
/content/drive/MyDrive/Colab Notebooks/dataset/data_ikan/Species/Training_Set/Anthias anthias/anthias_anthias-1033.jpg,Anthias anthias
/content/drive/MyDrive/Colab Notebooks/dataset/data_ikan/Species/Training_Set/Anthias anthias/anthias_anthias-1034.jpg,Anthias anthias
/content/drive/MyDrive/Colab Notebooks/dataset/data_ikan/Species/Training_Set/Anthias anthias/anthias_anthias-1035.jpg,Anthias anthias
/content/drive/MyDrive/Colab Notebooks/dataset/data_ikan/Species/Training_Set/Anthias anthias/anthias_anthias-1036.jpg,Anthias anthias
/content/drive/MyDrive/Colab Notebooks/dataset/data_ikan/Species/Training_Set/Anthias anthias/anthias_anthias-1037.jpg,Anthias anthias
/content/drive/MyDrive/Colab Notebooks/dataset/data_ikan/Species/Training_Set/Anthias anthias/anthias_anthias-1038.jpg,Anthias anthias
/content/drive/MyDrive/Colab Notebooks/dataset/data_ikan/Species/Training_Set/Anthias anthias/anthias_anthias-1039.jpg,Anthias anthias
/content/drive/MyDrive/Colab Notebooks/dataset/data_ikan/Species/Training_Set/Anthias anthias/anthias_anthias-104.jpg,Anthias anthias
/content/drive/MyDrive/Colab Notebooks/dataset/data_ikan/Species/Training_Set/Anthias anthias/anthias_anthias-1040.jpg,Anthias anthias
/content/drive/MyDrive/Colab Notebooks/dataset/data_ikan/Species/Training_Set/Anthias anthias/anthias_anthias-1041.jpg,Anthias anthias
/content/drive/MyDrive/Colab Notebooks/dataset/data_ikan/Species/Training_Set/Anthias anthias/anthias_anthias-1042.jpg,Anthias anthias
/content/drive/MyDrive/Colab Notebooks/dataset/data_ikan/Species/Training_Set/Anthias anthias/anthias_anthias-1043.jpg,Anthias anthias
/content/drive/MyDrive/Colab Notebooks/dataset/data_ikan/Species/Training_Set/Anthias anthias/anthias_anthias-1044.jpg,Anthias anthias
/content/drive/MyDrive/Colab Notebooks/dataset/data_ikan/Species/Training_Set/Anthias anthias/anthias_anthias-1045.jpg,Anthias anthias
/content/drive/MyDrive/Colab Notebooks/dataset/data_ikan/Species/Training_Set/Anthias anthias/anthias_anthias-1046.jpg,Anthias anthias
/content/drive/MyDrive/Colab Notebooks/dataset/data_ikan/Species/Training_Set/Anthias anthias/anthias_anthias-1047.jpg,Anthias anthias
/content/drive/MyDrive/Colab Notebooks/dataset/data_ikan/Species/Training_Set/Anthias anthias/anthias_anthias-1048.jpg,Anthias anthias
/content/drive/MyDrive/Colab Notebooks/dataset/data_ikan/Species/Training_Set/Anthias anthias/anthias_anthias-1049.jpg,Anthias anthias
/content/drive/MyDrive/Colab Notebooks/dataset/data_ikan/Species/Training_Set/Anthias anthias/anthias_anthias-105.jpg,Anthias anthias
/content/drive/MyDrive/Colab Notebooks/dataset/data_ikan/Species/Training_Set/Anthias anthias/anthias_anthias-1050.jpg,Anthias anthias
/content/drive/MyDrive/Colab Notebooks/dataset/data_ikan/Species/Training_Set/Anthias anthias/anthias_anthias-1051.jpg,Anthias anthias
/content/drive/MyDrive/Colab Notebooks/dataset/data_ikan/Species/Training_Set/Anthias anthias/anthias_anthias-1052.jpg,Anthias anthias
/content/drive/MyDrive/Colab Notebooks/dataset/data_ikan/Species/Training_Set/Anthias anthias/anthias_anthias-1053.jpg,Anthias anthias
/content/drive/MyDrive/Colab Notebooks/dataset/data_ikan/Species/Training_Set/Anthias anthias/anthias_anthias-1054.jpg,Anthias anthias
/content/drive/MyDrive/Colab Notebooks/dataset/data_ikan/Species/Training_Set/Anthias anthias/anthias_anthias-1055.jpg,Anthias anthias
/content/drive/MyDrive/Colab Notebooks/dataset/data_ikan/Species/Training_Set/Anthias anthias/anthias_anthias-1056.jpg,Anthias anthias
/content/drive/MyDrive/Colab Notebooks/dataset/data_ikan/Species/Training_Set/Anthias anthias/anthias_anthias-1057.jpg,Anthias anthias
/content/drive/MyDrive/Colab Notebooks/dataset/data_ikan/Species/Training_Set/Anthias anthias/anthias_anthias-1058.jpg,Anthias anthias
/content/drive/MyDrive/Colab Notebooks/dataset/data_ikan/Species/Training_Set/Anthias anthias/anthias_anthias-1059.jpg,Anthias anthias
/content/drive/MyDrive/Colab Notebooks/dataset/data_ikan/Species/Training_Set/Anthias anthias/anthias_anthias-106.jpg,Anthias anthias
/content/drive/MyDrive/Colab Notebooks/dataset/data_ikan/Species/Training_Set/Anthias anthias/anthias_anthias-1060.jpg,Anthias anthias
/content/drive/MyDrive/Colab Notebooks/dataset/data_ikan/Species/Training_Set/Anthias anthias/anthias_anthias-1061.jpg,Anthias anthias
/content/drive/MyDrive/Colab Notebooks/dataset/data_ikan/Species/Training_Set/Anthias anthias/anthias_anthias-1062.jpg,Anthias anthias
/content/drive/MyDrive/Colab Notebooks/dataset/data_ikan/Species/Training_Set/Anthias anthias/anthias_anthias-1063.jpg,Anthias anthias
/content/drive/MyDrive/Colab Notebooks/dataset/data_ikan/Species/Training_Set/Anthias anthias/anthias_anthias-1064.jpg,Anthias anthias
/content/drive/MyDrive/Colab Notebooks/dataset/data_ikan/Species/Training_Set/Anthias anthias/anthias_anthias-1065.jpg,Anthias anthias
/content/drive/MyDrive/Colab Notebooks/dataset/data_ikan/Species/Training_Set/Anthias anthias/anthias_anthias-1066.jpg,Anthias anthias
/content/drive/MyDrive/Colab Notebooks/dataset/data_ikan/Species/Training_Set/Anthias anthias/anthias_anthias-1067.jpg,Anthias anthias
/content/drive/MyDrive/Colab Notebooks/dataset/data_ikan/Species/Training_Set/Anthias anthias/anthias_anthias-1068.jpg,Anthias anthias
/content/drive/MyDrive/Colab Notebooks/dataset/data_ikan/Species/Training_Set/Anthias anthias/anthias_anthias-1069.jpg,Anthias anthias
/content/drive/MyDrive/Colab Notebooks/dataset/data_ikan/Species/Training_Set/Anthias anthias/anthias_anthias-107.jpg,Anthias anthias
/content/drive/MyDrive/Colab Notebooks/dataset/data_ikan/Species/Training_Set/Anthias anthias/anthias_anthias-1070.jpg,Anthias anthias
/content/drive/MyDrive/Colab Notebooks/dataset/data_ikan/Species/Training_Set/Anthias anthias/anthias_anthias-1071.jpg,Anthias anthias
/content/drive/MyDrive/Colab Notebooks/dataset/data_ikan/Species/Training_Set/Anthias anthias/anthias_anthias-1072.jpg,Anthias anthias
/content/drive/MyDrive/Colab Notebooks/dataset/data_ikan/Species/Training_Set/Anthias anthias/anthias_anthias-1073.jpg,Anthias anthias
/content/drive/MyDrive/Colab Notebooks/dataset/data_ikan/Species/Training_Set/Anthias anthias/anthias_anthias-1074.jpg,Anthias anthias
/content/drive/MyDrive/Colab Notebooks/dataset/data_ikan/Species/Training_Set/Anthias anthias/anthias_anthias-1075.jpg,Anthias anthias
/content/drive/MyDrive/Colab Notebooks/dataset/data_ikan/Species/Training_Set/Anthias anthias/anthias_anthias-1076.jpg,Anthias anthias
/content/drive/MyDrive/Colab Notebooks/dataset/data_ikan/Species/Training_Set/Anthias anthias/anthias_anthias-1077.jpg,Anthias anthias
/content/drive/MyDrive/Colab Notebooks/dataset/data_ikan/Species/Training_Set/Anthias anthias/anthias_anthias-1078.jpg,Anthias anthias
/content/drive/MyDrive/Colab Notebooks/dataset/data_ikan/Species/Training_Set/Anthias anthias/anthias_anthias-1079.jpg,Anthias anthias
/content/drive/MyDrive/Colab Notebooks/dataset/data_ikan/Species/Training_Set/Anthias anthias/anthias_anthias-108.jpg,Anthias anthias
/content/drive/MyDrive/Colab Notebooks/dataset/data_ikan/Species/Training_Set/Anthias anthias/anthias_anthias-1080.jpg,Anthias anthias
/content/drive/MyDrive/Colab Notebooks/dataset/data_ikan/Species/Training_Set/Anthias anthias/anthias_anthias-1081.jpg,Anthias anthias
/content/drive/MyDrive/Colab Notebooks/dataset/data_ikan/Species/Training_Set/Anthias anthias/anthias_anthias-1082.jpg,Anthias anthias
/content/drive/MyDrive/Colab Notebooks/dataset/data_ikan/Species/Training_Set/Anthias anthias/anthias_anthias-1083.jpg,Anthias anthias
/content/drive/MyDrive/Colab Notebooks/dataset/data_ikan/Species/Training_Set/Anthias anthias/anthias_anthias-1084.jpg,Anthias anthias
/content/drive/MyDrive/Colab Notebooks/dataset/data_ikan/Species/Training_Set/Anthias anthias/anthias_anthias-1085.jpg,Anthias anthias
/content/drive/MyDrive/Colab Notebooks/dataset/data_ikan/Species/Training_Set/Anthias anthias/anthias_anthias-1086.jpg,Anthias anthias
/content/drive/MyDrive/Colab Notebooks/dataset/data_ikan/Species/Training_Set/Anthias anthias/anthias_anthias-1087.jpg,Anthias anthias
/content/drive/MyDrive/Colab Notebooks/dataset/data_ikan/Species/Training_Set/Anthias anthias/anthias_anthias-1088.jpg,Anthias anthias
/content/drive/MyDrive/Colab Notebooks/dataset/data_ikan/Species/Training_Set/Anthias anthias/anthias_anthias-1089.jpg,Anthias anthias
/content/drive/MyDrive/Colab Notebooks/dataset/data_ikan/Species/Training_Set/Anthias anthias/anthias_anthias-109.jpg,Anthias anthias
/content/drive/MyDrive/Colab Notebooks/dataset/data_ikan/Species/Training_Set/Anthias anthias/anthias_anthias-1090.jpg,Anthias anthias
/content/drive/MyDrive/Colab Notebooks/dataset/data_ikan/Species/Training_Set/Anthias anthias/anthias_anthias-1091.jpg,Anthias anthias
/content/drive/MyDrive/Colab Notebooks/dataset/data_ikan/Species/Training_Set/Anthias anthias/anthias_anthias-1092.jpg,Anthias anthias
/content/drive/MyDrive/Colab Notebooks/dataset/data_ikan/Species/Training_Set/Anthias anthias/anthias_anthias-1093.jpg,Anthias anthias
/content/drive/MyDrive/Colab Notebooks/dataset/data_ikan/Species/Training_Set/Anthias anthias/anthias_anthias-1094.jpg,Anthias anthias
/content/drive/MyDrive/Colab Notebooks/dataset/data_ikan/Species/Training_Set/Anthias anthias/anthias_anthias-1095.jpg,Anthias anthias
/content/drive/MyDrive/Colab Notebooks/dataset/data_ikan/Species/Training_Set/Anthias anthias/anthias_anthias-1096.jpg,Anthias anthias
/content/drive/MyDrive/Colab Notebooks/dataset/data_ikan/Species/Training_Set/Anthias anthias/anthias_anthias-1097.jpg,Anthias anthias
/content/drive/MyDrive/Colab Notebooks/dataset/data_ikan/Species/Training_Set/Anthias anthias/anthias_anthias-1098.jpg,Anthias anthias
/content/drive/MyDrive/Colab Notebooks/dataset/data_ikan/Species/Training_Set/Anthias anthias/anthias_anthias-1099.jpg,Anthias anthias
/content/drive/MyDrive/Colab Notebooks/dataset/data_ikan/Species/Training_Set/Anthias anthias/anthias_anthias-11.jpg,Anthias anthias
/content/drive/MyDrive/Colab Notebooks/dataset/data_ikan/Species/Training_Set/Anthias anthias/anthias_anthias-110.jpg,Anthias anthias
/content/drive/MyDrive/Colab Notebooks/dataset/data_ikan/Species/Training_Set/Anthias anthias/anthias_anthias-1100.jpg,Anthias anthias
/content/drive/MyDrive/Colab Notebooks/dataset/data_ikan/Species/Training_Set/Anthias anthias/anthias_anthias-1101.jpg,Anthias anthias
/content/drive/MyDrive/Colab Notebooks/dataset/data_ikan/Species/Training_Set/Anthias anthias/anthias_anthias-1102.jpg,Anthias anthias
/content/drive/MyDrive/Colab Notebooks/dataset/data_ikan/Species/Training_Set/Anthias anthias/anthias_anthias-1103.jpg,Anthias anthias
/content/drive/MyDrive/Colab Notebooks/dataset/data_ikan/Species/Training_Set/Anthias anthias/anthias_anthias-1104.jpg,Anthias anthias
/content/drive/MyDrive/Colab Notebooks/dataset/data_ikan/Species/Training_Set/Anthias anthias/anthias_anthias-1105.jpg,Anthias anthias
/content/drive/MyDrive/Colab Notebooks/dataset/data_ikan/Species/Training_Set/Anthias anthias/anthias_anthias-1106.jpg,Anthias anthias
/content/drive/MyDrive/Colab Notebooks/dataset/data_ikan/Species/Training_Set/Anthias anthias/anthias_anthias-1107.jpg,Anthias anthias
/content/drive/MyDrive/Colab Notebooks/dataset/data_ikan/Species/Training_Set/Anthias anthias/anthias_anthias-1108.jpg,Anthias anthias
/content/drive/MyDrive/Colab Notebooks/dataset/data_ikan/Species/Training_Set/Anthias anthias/anthias_anthias-1109.jpg,Anthias anthias
/content/drive/MyDrive/Colab Notebooks/dataset/data_ikan/Species/Training_Set/Anthias anthias/anthias_anthias-111.jpg,Anthias anthias
/content/drive/MyDrive/Colab Notebooks/dataset/data_ikan/Species/Training_Set/Anthias anthias/anthias_anthias-1110.jpg,Anthias anthias
/content/drive/MyDrive/Colab Notebooks/dataset/data_ikan/Species/Training_Set/Anthias anthias/anthias_anthias-1111.jpg,Anthias anthias
/content/drive/MyDrive/Colab Notebooks/dataset/data_ikan/Species/Training_Set/Anthias anthias/anthias_anthias-1112.jpg,Anthias anthias
/content/drive/MyDrive/Colab Notebooks/dataset/data_ikan/Species/Training_Set/Anthias anthias/anthias_anthias-1113.jpg,Anthias anthias
/content/drive/MyDrive/Colab Notebooks/dataset/data_ikan/Species/Training_Set/Anthias anthias/anthias_anthias-1114.jpg,Anthias anthias
/content/drive/MyDrive/Colab Notebooks/dataset/data_ikan/Species/Training_Set/Anthias anthias/anthias_anthias-1115.jpg,Anthias anthias
/content/drive/MyDrive/Colab Notebooks/dataset/data_ikan/Species/Training_Set/Anthias anthias/anthias_anthias-1116.jpg,Anthias anthias
/content/drive/MyDrive/Colab Notebooks/dataset/data_ikan/Species/Training_Set/Anthias anthias/anthias_anthias-1117.jpg,Anthias anthias
/content/drive/MyDrive/Colab Notebooks/dataset/data_ikan/Species/Training_Set/Anthias anthias/anthias_anthias-1118.jpg,Anthias anthias
/content/drive/MyDrive/Colab Notebooks/dataset/data_ikan/Species/Training_Set/Anthias anthias/anthias_anthias-1119.jpg,Anthias anthias
/content/drive/MyDrive/Colab Notebooks/dataset/data_ikan/Species/Training_Set/Anthias anthias/anthias_anthias-112.jpg,Anthias anthias
/content/drive/MyDrive/Colab Notebooks/dataset/data_ikan/Species/Training_Set/Anthias anthias/anthias_anthias-1120.jpg,Anthias anthias
/content/drive/MyDrive/Colab Notebooks/dataset/data_ikan/Species/Training_Set/Anthias anthias/anthias_anthias-1121.jpg,Anthias anthias
/content/drive/MyDrive/Colab Notebooks/dataset/data_ikan/Species/Training_Set/Anthias anthias/anthias_anthias-1122.jpg,Anthias anthias
/content/drive/MyDrive/Colab Notebooks/dataset/data_ikan/Species/Training_Set/Anthias anthias/anthias_anthias-1123.jpg,Anthias anthias
/content/drive/MyDrive/Colab Notebooks/dataset/data_ikan/Species/Training_Set/Anthias anthias/anthias_anthias-1124.jpg,Anthias anthias
/content/drive/MyDrive/Colab Notebooks/dataset/data_ikan/Species/Training_Set/Anthias anthias/anthias_anthias-1125.jpg,Anthias anthias
/content/drive/MyDrive/Colab Notebooks/dataset/data_ikan/Species/Training_Set/Anthias anthias/anthias_anthias-1126.jpg,Anthias anthias
/content/drive/MyDrive/Colab Notebooks/dataset/data_ikan/Species/Training_Set/Anthias anthias/anthias_anthias-1127.jpg,Anthias anthias
/content/drive/MyDrive/Colab Notebooks/dataset/data_ikan/Species/Training_Set/Anthias anthias/anthias_anthias-1128.jpg,Anthias anthias
/content/drive/MyDrive/Colab Notebooks/dataset/data_ikan/Species/Training_Set/Anthias anthias/anthias_anthias-1129.jpg,Anthias anthias
/content/drive/MyDrive/Colab Notebooks/dataset/data_ikan/Species/Training_Set/Anthias anthias/anthias_anthias-113.jpg,Anthias anthias
/content/drive/MyDrive/Colab Notebooks/dataset/data_ikan/Species/Training_Set/Anthias anthias/anthias_anthias-1130.jpg,Anthias anthias
/content/drive/MyDrive/Colab Notebooks/dataset/data_ikan/Species/Training_Set/Anthias anthias/anthias_anthias-1131.jpg,Anthias anthias
/content/drive/MyDrive/Colab Notebooks/dataset/data_ikan/Species/Training_Set/Anthias anthias/anthias_anthias-1132.jpg,Anthias anthias
/content/drive/MyDrive/Colab Notebooks/dataset/data_ikan/Species/Training_Set/Anthias anthias/anthias_anthias-1133.jpg,Anthias anthias
/content/drive/MyDrive/Colab Notebooks/dataset/data_ikan/Species/Training_Set/Anthias anthias/anthias_anthias-1134.jpg,Anthias anthias
/content/drive/MyDrive/Colab Notebooks/dataset/data_ikan/Species/Training_Set/Anthias anthias/anthias_anthias-1135.jpg,Anthias anthias
/content/drive/MyDrive/Colab Notebooks/dataset/data_ikan/Species/Training_Set/Anthias anthias/anthias_anthias-1136.jpg,Anthias anthias
/content/drive/MyDrive/Colab Notebooks/dataset/data_ikan/Species/Training_Set/Anthias anthias/anthias_anthias-1137.jpg,Anthias anthias
/content/drive/MyDrive/Colab Notebooks/dataset/data_ikan/Species/Training_Set/Anthias anthias/anthias_anthias-1138.jpg,Anthias anthias
/content/drive/MyDrive/Colab Notebooks/dataset/data_ikan/Species/Training_Set/Anthias anthias/anthias_anthias-1139.jpg,Anthias anthias
/content/drive/MyDrive/Colab Notebooks/dataset/data_ikan/Species/Training_Set/Anthias anthias/anthias_anthias-114.jpg,Anthias anthias
/content/drive/MyDrive/Colab Notebooks/dataset/data_ikan/Species/Training_Set/Anthias anthias/anthias_anthias-1140.jpg,Anthias anthias
/content/drive/MyDrive/Colab Notebooks/dataset/data_ikan/Species/Training_Set/Anthias anthias/anthias_anthias-1141.jpg,Anthias anthias
/content/drive/MyDrive/Colab Notebooks/dataset/data_ikan/Species/Training_Set/Anthias anthias/anthias_anthias-1142.jpg,Anthias anthias
/content/drive/MyDrive/Colab Notebooks/dataset/data_ikan/Species/Training_Set/Anthias anthias/anthias_anthias-1143.jpg,Anthias anthias
/content/drive/MyDrive/Colab Notebooks/dataset/data_ikan/Species/Training_Set/Anthias anthias/anthias_anthias-1144.jpg,Anthias anthias
/content/drive/MyDrive/Colab Notebooks/dataset/data_ikan/Species/Training_Set/Anthias anthias/anthias_anthias-1145.jpg,Anthias anthias
/content/drive/MyDrive/Colab Notebooks/dataset/data_ikan/Species/Training_Set/Anthias anthias/anthias_anthias-1146.jpg,Anthias anthias
/content/drive/MyDrive/Colab Notebooks/dataset/data_ikan/Species/Training_Set/Anthias anthias/anthias_anthias-1147.jpg,Anthias anthias
/content/drive/MyDrive/Colab Notebooks/dataset/data_ikan/Species/Training_Set/Anthias anthias/anthias_anthias-1148.jpg,Anthias anthias
/content/drive/MyDrive/Colab Notebooks/dataset/data_ikan/Species/Training_Set/Anthias anthias/anthias_anthias-1149.jpg,Anthias anthias
/content/drive/MyDrive/Colab Notebooks/dataset/data_ikan/Species/Training_Set/Anthias anthias/anthias_anthias-115.jpg,Anthias anthias
/content/drive/MyDrive/Colab Notebooks/dataset/data_ikan/Species/Training_Set/Anthias anthias/anthias_anthias-1150.jpg,Anthias anthias
/content/drive/MyDrive/Colab Notebooks/dataset/data_ikan/Species/Training_Set/Anthias anthias/anthias_anthias-1151.jpg,Anthias anthias
/content/drive/MyDrive/Colab Notebooks/dataset/data_ikan/Species/Training_Set/Anthias anthias/anthias_anthias-1152.jpg,Anthias anthias
/content/drive/MyDrive/Colab Notebooks/dataset/data_ikan/Species/Training_Set/Anthias anthias/anthias_anthias-1153.jpg,Anthias anthias
/content/drive/MyDrive/Colab Notebooks/dataset/data_ikan/Species/Training_Set/Anthias anthias/anthias_anthias-1154.jpg,Anthias anthias
/content/drive/MyDrive/Colab Notebooks/dataset/data_ikan/Species/Training_Set/Anthias anthias/anthias_anthias-1155.jpg,Anthias anthias
/content/drive/MyDrive/Colab Notebooks/dataset/data_ikan/Species/Training_Set/Anthias anthias/anthias_anthias-1156.jpg,Anthias anthias
/content/drive/MyDrive/Colab Notebooks/dataset/data_ikan/Species/Training_Set/Anthias anthias/anthias_anthias-1157.jpg,Anthias anthias
/content/drive/MyDrive/Colab Notebooks/dataset/data_ikan/Species/Training_Set/Anthias anthias/anthias_anthias-1158.jpg,Anthias anthias
/content/drive/MyDrive/Colab Notebooks/dataset/data_ikan/Species/Training_Set/Anthias anthias/anthias_anthias-1159.jpg,Anthias anthias
/content/drive/MyDrive/Colab Notebooks/dataset/data_ikan/Species/Training_Set/Anthias anthias/anthias_anthias-116.jpg,Anthias anthias
/content/drive/MyDrive/Colab Notebooks/dataset/data_ikan/Species/Training_Set/Anthias anthias/anthias_anthias-1160.jpg,Anthias anthias
/content/drive/MyDrive/Colab Notebooks/dataset/data_ikan/Species/Training_Set/Anthias anthias/anthias_anthias-1161.jpg,Anthias anthias
/content/drive/MyDrive/Colab Notebooks/dataset/data_ikan/Species/Training_Set/Anthias anthias/anthias_anthias-1162.jpg,Anthias anthias
/content/drive/MyDrive/Colab Notebooks/dataset/data_ikan/Species/Training_Set/Anthias anthias/anthias_anthias-1163.jpg,Anthias anthias
/content/drive/MyDrive/Colab Notebooks/dataset/data_ikan/Species/Training_Set/Anthias anthias/anthias_anthias-1164.jpg,Anthias anthias
/content/drive/MyDrive/Colab Notebooks/dataset/data_ikan/Species/Training_Set/Anthias anthias/anthias_anthias-1165.jpg,Anthias anthias
/content/drive/MyDrive/Colab Notebooks/dataset/data_ikan/Species/Training_Set/Anthias anthias/anthias_anthias-1166.jpg,Anthias anthias
/content/drive/MyDrive/Colab Notebooks/dataset/data_ikan/Species/Training_Set/Anthias anthias/anthias_anthias-1167.jpg,Anthias anthias
/content/drive/MyDrive/Colab Notebooks/dataset/data_ikan/Species/Training_Set/Anthias anthias/anthias_anthias-1168.jpg,Anthias anthias
/content/drive/MyDrive/Colab Notebooks/dataset/data_ikan/Species/Training_Set/Anthias anthias/anthias_anthias-1169.jpg,Anthias anthias
/content/drive/MyDrive/Colab Notebooks/dataset/data_ikan/Species/Training_Set/Anthias anthias/anthias_anthias-117.jpg,Anthias anthias
/content/drive/MyDrive/Colab Notebooks/dataset/data_ikan/Species/Training_Set/Anthias anthias/anthias_anthias-1170.jpg,Anthias anthias
/content/drive/MyDrive/Colab Notebooks/dataset/data_ikan/Species/Training_Set/Anthias anthias/anthias_anthias-1171.jpg,Anthias anthias
/content/drive/MyDrive/Colab Notebooks/dataset/data_ikan/Species/Training_Set/Anthias anthias/anthias_anthias-1172.jpg,Anthias anthias
/content/drive/MyDrive/Colab Notebooks/dataset/data_ikan/Species/Training_Set/Anthias anthias/anthias_anthias-1173.jpg,Anthias anthias
/content/drive/MyDrive/Colab Notebooks/dataset/data_ikan/Species/Training_Set/Anthias anthias/anthias_anthias-1174.jpg,Anthias anthias
